counter,subID,task,Video,Track,Timestamp,errors_in_frame,time_to_prev_error,time_to_next_error,value1,error_type_value1,error_subtype_value1,value1b,value2,error_type_value2,error_subtype_value2,value2b,value3,error_type_value3,error_subtype_value3,value3b,value4,error_type_value4,error_subtype_value4,value4b,value5,error_type_value5,error_subtype_value5,value5b,HMD,offset,Timestamp_adjusted
285,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,57.96,1,2.28,-2,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,58.2875607757781
286,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,59.96,3,2,-3.84,21,2,6,2,7,1,2,2,6,1,2,2, , , , , , , , ,varjo,True,60.2875607757781
287,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,63.8,1,3.84,-12.08,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,64.1275607757781
288,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,75.88,1,12.08,-4.2,21,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,76.2075607757781
289,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,80.08,1,4.2,-5,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,80.4075607757781
290,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,85.08,1,5,-1.64,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,85.4075607757781
291,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,86.72,2,1.64,-1.40000000000001,6,1,2,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,87.0475607757781
292,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,88.12,1,1.40000000000001,-14.24,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,88.4475607757781
293,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,102.36,2,14.24,-11.44,31,2,8,2,20,2,6,2, , , , , , , , , , , , ,varjo,True,102.687560775778
294,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,113.8,1,11.44,-11.2,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,114.127560775778
295,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,125,1,11.2,-6.63999999999999,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,125.327560775778
296,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,131.64,1,6.63999999999999,-25.56,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,131.967560775778
297,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,157.2,2,25.56,-6.08000000000001,8,1,2,2,7,1,2,2, , , , , , , , , , , , ,varjo,True,157.527560775778
298,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,163.28,1,6.08000000000001,-3.84,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,163.607560775778
299,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,167.12,1,3.84,-2,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,167.447560775778
300,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,169.12,1,2,-6.12,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,169.447560775778
301,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,175.24,3,6.12,-11.76,28,2,8,2,29,2,8,2,33,2,9,2, , , , , , , , ,varjo,True,175.567560775778
302,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,187,2,11.76,-5.68000000000001,29,2,8,2,28,2,8,2, , , , , , , , , , , , ,varjo,True,187.327560775778
303,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,192.68,1,5.68000000000001,-20.64,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,193.007560775778
304,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,213.32,2,20.64,-8.88,7,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,213.647560775778
305,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,222.2,2,8.88,-9.36000000000001,26,2,7,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,222.527560775778
306,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,231.56,1,9.36000000000001,-10.68,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,231.887560775778
307,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,242.24,1,10.68,-16.68,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,242.567560775778
308,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,258.92,2,16.68,-11.72,8,1,2,2,7,1,2,2, , , , , , , , , , , , ,varjo,True,259.247560775778
309,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,270.64,2,11.72,-7.04000000000002,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,270.967560775778
310,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,277.68,1,7.04000000000002,-6.88,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,278.007560775778
311,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,284.56,1,6.88,-5.80000000000001,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,284.887560775778
312,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,290.36,1,5.80000000000001,-14.16,24.2,2,7, , , , , , , , , , , , , , , , , ,varjo,True,290.687560775778
313,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,304.52,2,14.16,-4.28000000000003,33,2,9,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,304.847560775778
314,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,308.8,1,4.28000000000003,-3.44,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,309.127560775778
315,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,312.24,1,3.44,-3.24000000000001,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,312.567560775778
316,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,315.48,2,3.24000000000001,-2.79999999999995,8,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,315.807560775778
317,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,318.28,1,2.79999999999995,-8.04000000000002,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,318.607560775778
318,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,326.32,1,8.04000000000002,-11.68,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,326.647560775778
319,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,338,1,11.68,-.560000000000002,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,338.327560775778
320,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,338.56,1,.560000000000002,-2.51999999999998,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,338.887560775778
321,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,341.08,1,2.51999999999998,-1.12,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,341.407560775778
322,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,342.2,2,1.12,-16.04,31,2,8,2,25,2,7,2, , , , , , , , , , , , ,varjo,True,342.527560775778
323,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,358.24,1,16.04,-3.63999999999999,21,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,358.567560775778
324,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,361.88,1,3.63999999999999,-7.60000000000002,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,362.207560775778
325,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,369.48,1,7.60000000000002,-48.44,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,369.807560775778
326,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,417.92,1,48.44,-4,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,418.247560775778
327,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,421.92,1,4,-14.24,22,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,422.247560775778
328,P6,sandwich,P6_sandwich_2_merged_varjo.mp4,error frame,436.16,2,14.24, ,30,2,8,1,18,2,5,2, , , , , , , , , , , , ,varjo,True,436.487560775778
329,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,15.96,1, ,-13.48,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,15.4874280870221
330,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,29.44,2,13.48,-4.28,1,1,1,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,28.9674280870221
331,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,33.72,1,4.28,-3.56,20,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,33.2474280870221
332,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,37.28,1,3.56,-2.28,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,36.8074280870221
333,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,39.56,1,2.28,-2.72,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,39.0874280870221
334,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,42.28,1,2.72,-1.04,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,41.8074280870221
335,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,43.32,1,1.04,-11.04,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,42.8474280870221
336,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,54.36,1,11.04,-10.36,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,53.8874280870221
337,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,64.72,1,10.36,-4.40000000000001,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,64.2474280870221
338,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,69.12,2,4.40000000000001,-1.31999999999999,6,1,2,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,68.6474280870221
339,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,70.44,1,1.31999999999999,-24.92,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,69.9674280870221
340,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,95.36,2,24.92,-13.68,10,1,3,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,94.8874280870221
341,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,109.04,1,13.68,-2.83999999999999,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,108.567428087022
342,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,111.88,1,2.83999999999999,-7.96000000000001,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,111.407428087022
343,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,119.84,2,7.96000000000001,-13.2,21,2,6,2,28,2,8,2, , , , , , , , , , , , ,varjo,True,119.367428087022
344,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,133.04,1,13.2,-17.92,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,132.567428087022
345,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,150.96,2,17.92,-4.91999999999999,24,2,7,2,25,2,7,2, , , , , , , , , , , , ,varjo,True,150.487428087022
346,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,155.88,1,4.91999999999999,-22.16,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,155.407428087022
347,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,178.04,2,22.16,-16.84,8,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,177.567428087022
348,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,194.88,1,16.84,-2.48000000000002,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,194.407428087022
349,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,197.36,1,2.48000000000002,-4.23999999999998,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,196.887428087022
350,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,201.6,1,4.23999999999998,-4.44,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,201.127428087022
351,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,206.04,1,4.44,-1.24000000000001,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,205.567428087022
352,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,207.28,1,1.24000000000001,-6.68000000000001,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,206.807428087022
353,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,213.96,2,6.68000000000001,-5.63999999999999,24,2,7,2,33,2,9,2, , , , , , , , , , , , ,varjo,True,213.487428087022
354,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,219.6,2,5.63999999999999,-14.84,7,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,219.127428087022
355,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,234.44,1,14.84,-22.72,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,233.967428087022
356,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,257.16,1,22.72,-20.6,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,256.687428087022
357,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,277.76,3,20.6,-42.48,29,2,8,2,31,2,8,2,8,1,2,2, , , , , , , , ,varjo,True,277.287428087022
358,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,320.24,1,42.48,-3.75999999999999,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,319.767428087022
359,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,324,1,3.75999999999999,-1.60000000000002,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,323.527428087022
360,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,325.6,1,1.60000000000002,-7,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,325.127428087022
361,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,332.6,1,7,-4.47999999999996,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,332.127428087022
362,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,337.08,1,4.47999999999996,-19.92,1,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,336.607428087022
363,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,357,1,19.92,-15.92,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,356.527428087022
364,P9,sandwich,P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.mp4,error frame,372.92,1,15.92, ,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,372.447428087022
365,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,18.6,2, ,-1.28,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,19.3940935292455
366,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,19.88,2,1.28,-.400000000000002,1,1,1,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,20.6740935292455
367,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,20.28,1,.400000000000002,-2.2,6,1,2,3, , , , , , , , , , , , , , , , ,varjo,True,21.0740935292455
368,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,22.48,1,2.2,-9.52,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,23.2740935292455
369,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,32,1,9.52,-10.28,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,32.7940935292455
370,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,42.28,2,10.28,-11.52,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,43.0740935292455
371,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,53.8,1,11.52,-5,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,54.5940935292455
372,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,58.8,1,5,-1.48,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,59.5940935292455
373,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,60.28,1,1.48,-6,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,61.0740935292455
374,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,66.28,2,6,-4,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,67.0740935292455
375,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,70.28,2,4,-1,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,71.0740935292455
376,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,71.28,2,1,-5.2,1,1,1,2,23,2,7,2, , , , , , , , , , , , ,varjo,True,72.0740935292455
377,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,76.48,2,5.2,-20.84,6,1,2,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,77.2740935292455
378,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,97.32,2,20.84,-10.64,3,1,1,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,98.1140935292455
379,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,107.96,1,10.64,-3.12,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,108.754093529245
380,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,111.08,2,3.12,-1.96000000000001,3,1,1,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,111.874093529245
381,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,113.04,1,1.96000000000001,-8.03999999999999,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,113.834093529246
382,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,121.08,1,8.03999999999999,-4.08,26,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,121.874093529245
383,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,125.16,2,4.08,-31.92,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,125.954093529245
384,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,157.08,1,31.92,-7.59999999999999,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,157.874093529245
385,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,164.68,2,7.59999999999999,-16.32,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,165.474093529245
386,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,181,2,16.32,-.599999999999994,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,181.794093529245
387,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,181.6,1,.599999999999994,-1.03999999999999,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,182.394093529245
388,P23,cereal,P23_cereal_2_merged_varjo.mp4,error frame,182.64,2,1.03999999999999, ,13,1,3,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,183.434093529245
389,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,14.84,2, ,-3,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,14.7336940129788
390,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,17.84,3,3,-8.28,1,1,1,2,6,1,2,2,31,2,8,2, , , , , , , , ,varjo,True,17.7336940129788
391,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,26.12,1,8.28,-8.64,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,26.0136940129788
392,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,34.76,1,8.64,-4.8,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,34.6536940129788
393,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,39.56,1,4.8,-3,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,39.4536940129788
394,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,42.56,2,3,-3.96,8,1,2,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,42.4536940129788
395,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,46.52,1,3.96,-1.72,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,46.4136940129788
396,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,48.24,1,1.72,-10.36,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,48.1336940129788
397,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,58.6,1,10.36,-17.96,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,58.4936940129788
398,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,76.56,1,17.96,-6.75999999999999,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,76.4536940129788
399,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,83.32,1,6.75999999999999,-9.2,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,83.2136940129787
400,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,92.52,1,9.2,-4.84,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,92.4136940129788
401,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,97.36,1,4.84,-14.44,8,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,97.2536940129788
402,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,111.8,1,14.44,-1.2,13,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,111.693694012979
403,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,113,1,1.2,-9.44,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,112.893694012979
404,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,122.44,1,9.44,-.719999999999999,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,122.333694012979
405,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,123.16,2,.719999999999999,-7.80000000000001,13,1,3,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,123.053694012979
406,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,130.96,2,7.80000000000001,-3.40000000000001,6,1,2,2,31,2,8,2, , , , , , , , , , , , ,varjo,True,130.853694012979
407,P4,cereal,P4_cereal_2_merged_varjo.mp4,error frame,134.36,3,3.40000000000001, ,6,1,2,2,21,2,6,2,31,2,8,2, , , , , , , , ,varjo,True,134.253694012979
408,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,16,3, ,-6.08,31,2,8,2,13,1,3,2,21,2,6,1, , , , , , , , ,varjo,True,19.5926227396065
409,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,22.08,3,6.08,-1.4,31,2,8,2,13,1,3,2,10,1,3,2, , , , , , , , ,varjo,True,25.6726227396065
410,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,23.48,2,1.4,-8.32,6,1,2,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,27.0726227396065
411,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,31.8,3,8.32,-15.08,31,2,8,2,13,1,3,2,10,1,3,2, , , , , , , , ,varjo,True,35.3926227396065
412,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,46.88,1,15.08,-1.52,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,50.4726227396065
413,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,48.4,1,1.52,-1.84,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,51.9926227396065
414,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,50.24,1,1.84,-.799999999999997,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,53.8326227396065
415,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,51.04,3,.799999999999997,-.759999999999998,31,2,8,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,54.6326227396065
416,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,51.8,2,.759999999999998,-3.68,1,1,1,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,55.3926227396065
417,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,55.48,1,3.68,-9.4,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,59.0726227396065
418,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,64.88,1,9.4,-6.36,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,68.4726227396065
419,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,71.24,2,6.36,-4.44000000000001,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,74.8326227396065
420,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,75.68,1,4.44000000000001,-3.63999999999999,6,1,2,3, , , , , , , , , , , , , , , , ,varjo,True,79.2726227396065
421,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,79.32,3,3.63999999999999,-4,6,1,2,2,21,2,6,2,13,1,3,2, , , , , , , , ,varjo,True,82.9126227396065
422,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,83.32,1,4,-12.36,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,86.9126227396065
423,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,95.68,2,12.36,-10.8,31,2,8,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,99.2726227396065
424,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,106.48,2,10.8,-21.72,31,2,8,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,110.072622739607
425,P18,cereal,P18_cereal_2_merged_varjo.mp4,error frame,128.2,2,21.72, ,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,131.792622739606
426,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,12.32,2, ,-.959999999999999,6,1,2,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,14.7154599689888
427,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,13.28,1,.959999999999999,-3.4,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,15.6754599689888
428,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,16.68,1,3.4,-1.56,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,19.0754599689888
429,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,18.24,1,1.56,-11.2,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,20.6354599689888
